Min_Energy_Thresh_F,Max_Energy_Thresh_F,Min_Energy_Thresh_M,Max_Energy_Thresh_M,Foraging_Condition_Mean,Foraging_Condition_SD,Foraging_Condition_Kick,Egg_Neglect_Max,Did_Hatch,N,End_Energy_F,Mean_Energy_F,Var_Energy_F,End_Energy_M,Mean_Energy_M,Var_Energy_M,Total_Neglect,Max_Neglect,Season_Length,Scaled_Entropy,Scaled_Entropy_N_Adjusted
600,800,400,700,170,47,0,4,FALSE,78,796.0232307692307,741.1685641025641,7522.196666666667,671.4186538461538,631.3136794871795,10465.716025641026,6.756410256410256,5.794871794871795,47.282051282051285,0.8869411422676466,1.0355469890786249
600,800,400,700,170,47,0,5,TRUE,951,781.5889568874868,770.6477255520505,6296.005026288118,675.6162039957939,669.6966109358569,7668.374805467928,1.7192429022082019,1.352260778128286,39.71188222923239,0.6858009472863738,0.7225900330609191
600,800,400,700,170,47,0,5,FALSE,49,783.4927142857143,742.6563877551021,7217.510408163265,699.8897142857143,630.797612244898,11846.297142857144,8.16326530612245,6.714285714285714,49.285714285714285,0.9025140205535386,1.082369652231513
600,800,400,700,170,47,0,6,TRUE,988,778.1316912955466,768.5472753036437,6173.46467611336,677.5852196356275,672.4238380566802,7670.015890688259,1.7206477732793521,1.3309716599190284,39.7085020242915,0.6862952948759862,0.7231520708467636
600,800,400,700,170,47,0,6,FALSE,12,808.7466666666667,741.8361666666667,12928.120833333332,721.9290833333333,629.3025833333334,16048.4575,9.5,8,51.083333333333336,0.9267716070522715,1.1394418221626454
600,800,400,700,170,47,0,7,TRUE,995,779.0254040201005,765.4439758793969,6189.6306834170855,669.1864753768845,666.1152201005025,7778.222381909548,1.8050251256281407,1.436180904522613,39.8391959798995,0.6938144252265837,0.7327273891113335
600,800,400,700,170,47,0,7,FALSE,5,839.0886,752.5426,14045.784,708.2848,623.1758,18172.32,10.6,9,52.6,0.9482915357311928,1.1879430661454518
600,800,400,800,130,47,0,1,FALSE,1000,580.55199893,616.52522,11872.48037,486.360450511,509.219989,19789.15304,38.865,25.699,59.803,0.748401688135178,2.306558599767167
600,800,400,800,130,47,0,2,FALSE,1000,579.68576978,614.113088,12144.22932,474.1000368157,508.117501,19448.44544,38.643,25.592,59.828,0.750905195992159,2.2922248623325063
600,800,400,800,130,47,0,3,FALSE,1000,579.88970147,619.302286,11331.06864,491.284476471,512.1652,19309.62233,39.393,26.231,60.234,0.7461518651132618,2.33028541196186
600,800,400,800,130,47,0,4,FALSE,1000,591.70865296,620.558552,11250.20483,478.181723051,506.354012,19583.84278,38.486,25.61,59.501,0.7521054457388308,2.297625931929696
600,800,400,800,130,47,0,5,FALSE,1000,587.5688759,619.399571,11515.35665,482.80001504,506.930085,19484.18781,39.004,26.108,59.816,0.7448994377957754,2.3172298223116203
600,800,400,800,130,47,0,6,FALSE,1000,591.70386872,621.528569,10953.56193,491.586762338,512.015245,19626.4815,38.894,25.761,59.939,0.7507430170009536,2.304604082465199
600,800,400,800,130,47,0,7,FALSE,1000,586.4171858,619.326869,11772.95515,485.681781064,512.72096,19693.91857,38.886,25.725,60.251,0.753638189390936,2.29877448173904
600,800,400,800,140,47,0,1,FALSE,1000,665.595395,668.854172,8409.6569,596.62780571,591.273027,17465.53973,27.854,14.482,60.732,0.9328152682040264,1.7954139298663752
600,800,400,800,140,47,0,2,TRUE,1,618.633,687.638,6718.01,687.082,687.301,7496.48,4,2,43,0.8836322629838957,0.9998996660080925
600,800,400,800,140,47,0,2,FALSE,999,663.4360830830831,670.105013013013,8230.786626626626,592.9767679679679,589.115008008008,17637.16986986987,27.76176176176176,14.383383383383384,60.753753753753756,0.934666481104796,1.79204568959831
600,800,400,800,140,47,0,3,TRUE,2,705.6875,705.588,5562.215,457.23900000000003,689.8745,15424.55,3.5,3,42.5,0.8450141885348221,0.9341631252040647
600,800,400,800,140,47,0,3,FALSE,998,662.9278056112224,669.757122244489,8205.30862725451,585.8532034068136,588.908746492986,17537.89998997996,28.100200400801604,14.49498997995992,60.85671342685371,0.9322730864237412,1.804885357955849
600,800,400,800,140,47,0,4,TRUE,4,645.66625,685.6899999999999,7227.4325,395.415,637.479,18321.375,7.75,2.75,48.75,0.9062607980722395,1.084725836851742
600,800,400,800,140,47,0,4,FALSE,996,665.3607530120482,669.0916666666667,8466.616857429719,585.428049186747,588.0515240963855,17620.009648594376,28.04116465863454,14.866465863453815,60.83534136546185,0.9334934674019175,1.8058165059633804
600,800,400,800,140,47,0,5,TRUE,11,724.5993636363636,704.4237272727273,6697.615454545455,502.28381818181816,657.1236363636364,12531.273636363636,10.363636363636363,4.454545454545454,52.36363636363637,0.9412600181035305,1.1795179089002068
600,800,400,800,140,47,0,5,FALSE,989,662.2874711830132,669.0557462082912,8337.574671385237,597.7811739029322,589.6386622851365,17610.694600606672,27.72901921132457,14.658240647118301,60.80485338725986,0.9359080777184604,1.7909869855187546
600,800,400,800,140,47,0,6,TRUE,14,672.5581428571428,701.8697142857143,7092.537142857143,579.2575714285714,657.4370714285715,12314.9,10.571428571428571,5.285714285714286,52.714285714285715,0.9424523679206178,1.1834845640558815
600,800,400,800,140,47,0,6,FALSE,986,666.6208235294117,667.7025993914807,8420.756561866127,593.3830934077079,587.3241044624747,18079.838914807304,27.9868154158215,14.600405679513184,60.870182555780936,0.9340582181643539,1.7990805343087586
600,800,400,800,140,47,0,7,TRUE,18,677.0831666666667,700.7338333333333,7167.5055555555555,576.9880555555555,656.5665,15013.849444444444,12.222222222222221,5.555555555555555,55,0.9519743019819711,1.22796031373884
600,800,400,800,140,47,0,7,FALSE,982,663.9529541751527,668.705565173116,8246.53585539715,590.4172452851324,587.9350804480652,17583.97633401222,28.286150712830956,14.801425661914461,60.90325865580448,0.9306959571974268,1.8126283044419036
600,800,400,800,150,47,0,1,TRUE,8,683.48625,720.106625,6087.61875,529.899375,679.8015,12926.5525,1,0.875,38.875,0.7259898981241582,0.7513862639145272
600,800,400,800,150,47,0,1,FALSE,992,699.0829072580646,697.0480504032258,7272.015715725806,642.7612419354839,642.22825,15179.899516129033,17.018145161290324,8.63608870967742,57.61189516129032,0.9656569367340714,1.3943593415870712
600,800,400,800,150,47,0,2,TRUE,23,709.654304347826,718.756652173913,6755.269130434783,519.3924347826087,682.6905652173913,13061.785652173912,2.3043478260869565,1.4782608695652173,40.65217391304348,0.7754006213431618,0.8262769978349733
600,800,400,800,150,47,0,2,FALSE,977,701.8458188331628,696.7295946775845,7360.969928352099,643.1793643807574,640.4487543500512,15550.162364380758,16.735926305015354,8.528147389969293,57.41555783009212,0.9643540716282054,1.3845904882701778
600,800,400,800,150,47,0,3,TRUE,48,694.7629166666667,720.1924166666666,6369.835416666667,622.003,690.2485625,11259.074583333333,3.0833333333333335,2.0416666666666665,41.8125,0.7971583906215719,0.8670618075107301
600,800,400,800,150,47,0,3,FALSE,952,699.6300357142857,696.5023802521008,7409.219789915966,651.4688602941177,640.3177226890756,15471.326806722689,17.27310924369748,8.934873949579831,57.92857142857143,0.9687458622177435,1.403051374561604
600,800,400,800,150,47,0,4,TRUE,95,719.4822842105264,715.7563789473684,6640.241157894737,627.0612210526316,677.734852631579,12813.555684210527,6.178947368421053,3.1578947368421053,46.36842105263158,0.8766154654182269,1.017404829391005
600,800,400,800,150,47,0,4,FALSE,905,699.9899922651933,696.0858917127072,7300.192685082873,653.5467204419889,639.3342607734807,15579.283237569061,17.844198895027624,9.067403314917128,58.601104972375694,0.97249169838691,1.4203932948914733
600,800,400,800,150,47,0,5,TRUE,204,708.9521960784314,709.1599215686274,6945.071176470588,634.6136323529412,672.9484166666666,13204.986617647059,8.416666666666666,4.029411764705882,49.544117647058826,0.9099074221213875,1.100709406528977
600,800,400,800,150,47,0,5,FALSE,796,700.8588015075377,694.8518806532663,7288.382826633166,657.6295804020101,636.0334195979899,15696.436281407035,18.634422110552762,9.42713567839196,59.232412060301506,0.9761930085297392,1.4480171610441048
600,800,400,800,150,47,0,6,TRUE,270,708.1519666666667,705.4760111111111,6837.117037037037,630.2131740740741,666.6471962962963,13211.650703703704,9.348148148148148,4.729629629629629,50.91851851851852,0.9277218406656624,1.14171692171375
600,800,400,800,150,47,0,6,FALSE,730,703.6662726027397,694.2971684931507,7383.813630136986,648.3242205479452,633.4930164383561,15994.75691780822,19.245205479452054,9.884931506849314,59.74109589041096,0.9789971869190054,1.4668545088054226
600,800,400,800,150,47,0,7,TRUE,336,709.8022678571429,707.8987291666666,6941.340297619047,627.406125,661.9905863095238,13937.32181547619,9.922619047619047,5.145833333333333,51.729166666666664,0.9321568701415295,1.1577341662425304
600,800,400,800,150,47,0,7,FALSE,664,707.3035391566265,692.9283478915663,7437.798509036144,654.7546987951807,630.1242876506024,16097.090421686748,19.753012048192772,9.971385542168674,60.11144578313253,0.9796755869137298,1.4823790579566398
600,800,400,800,160,47,0,1,TRUE,105,733.8328190476191,742.1052952380952,6180.721238095238,676.2257714285714,725.1075428571429,8119.177619047619,0.6571428571428571,0.5047619047619047,38.180952380952384,0.667380537557227,0.6814849853123063
600,800,400,800,160,47,0,1,FALSE,895,734.4246301675978,719.3743083798882,7020.294603351956,698.4757854748603,688.218912849162,12714.933932960894,8.132960893854749,5.182122905027933,48.997765363128494,0.8996095990291648,1.0834364471490343
600,800,400,800,160,47,0,2,TRUE,203,731.8204187192118,733.576960591133,6229.978669950739,676.3426945812807,717.7099408866995,8722.465369458128,1.6502463054187193,1.1083743842364533,39.64039408866995,0.725531499772467,0.7624638603406471
600,800,400,800,160,47,0,2,FALSE,797,735.0915056461731,717.1834968632371,7016.910928481807,699.5342459222082,680.2579247176914,13271.693224592222,8.844416562107904,5.530740276035131,50.03764115432873,0.9142126220151349,1.1143114381738732
600,800,400,800,160,47,0,3,TRUE,300,726.3625433333333,728.23053,6436.383333333333,673.91265,707.37533,10205.849833333334,3.0733333333333333,1.9666666666666666,41.846666666666664,0.7843788389476388,0.8520433425991716
600,800,400,800,160,47,0,3,FALSE,700,737.2476828571429,716.0042742857142,7365.851471428571,699.1928085714286,678.7010871428571,13683.014657142858,9.975714285714286,6.1814285714285715,51.56428571428572,0.9288493869055042,1.1557344329296173
600,800,400,800,160,47,0,4,TRUE,476,729.0286323529411,724.1943025210084,6580.233046218487,681.7487331932773,697.1412857142857,10802.14724789916,4.352941176470588,2.7058823529411766,43.69327731092437,0.8215582856840902,0.9186235267406848
