Min_Energy_Thresh_F,Max_Energy_Thresh_F,Min_Energy_Thresh_M,Max_Energy_Thresh_M,Foraging_Condition_Mean,Foraging_Condition_SD,Foraging_Condition_Kick,Success,Fail_Dead_Parent,Fail_Egg_Neglect_Max,Fail_Egg_Neglect_Cumulative
200,300,600,800,150,47,1,0.153,0.62,0.166,0.061
200,300,600,800,160,47,0,0.991,0.001,0.006,0.002
200,300,600,800,160,47,1,0.58,0.334,0.079,0.007
200,300,600,800,170,47,0,1,0,0,0
200,300,600,800,170,47,1,0.86,0.132,0.008,0
200,300,600,900,130,47,0,0.004,0.453,0.522,0.021
200,300,600,900,130,47,1,0,0.951,0.049,0
200,300,600,900,140,47,0,0.104,0.13,0.629,0.137
200,300,600,900,140,47,1,0.003,0.859,0.122,0.016
200,300,600,900,150,47,0,0.694,0.024,0.192,0.09
200,300,600,900,150,47,1,0.085,0.686,0.168,0.061
200,300,600,900,160,47,0,0.981,0,0.018,0.001
200,300,600,900,160,47,1,0.427,0.485,0.077,0.011
200,300,600,900,170,47,0,0.999,0,0.001,0
200,300,600,900,170,47,1,0.758,0.223,0.019,0
200,300,600,1000,130,47,0,0,0.477,0.515,0.008
200,300,600,1000,130,47,1,0,0.957,0.042,0.001
200,300,600,1000,140,47,0,0.077,0.151,0.636,0.136
200,300,600,1000,140,47,1,0.003,0.851,0.134,0.012
200,300,600,1000,150,47,0,0.597,0.023,0.246,0.134
200,300,600,1000,150,47,1,0.058,0.74,0.152,0.05
200,300,600,1000,160,47,0,0.97,0.001,0.022,0.007
200,300,600,1000,160,47,1,0.32,0.561,0.096,0.023
200,300,600,1000,170,47,0,0.998,0.002,0,0
200,300,600,1000,170,47,1,0.617,0.352,0.03,0.001
200,300,700,800,130,47,0,0.002,0.437,0.515,0.046
200,300,700,800,130,47,1,0,0.954,0.045,0.001
200,300,700,800,140,47,0,0.142,0.126,0.507,0.225
200,300,700,800,140,47,1,0.004,0.809,0.164,0.023
200,300,700,800,150,47,0,0.749,0.01,0.103,0.138
200,300,700,800,150,47,1,0.151,0.599,0.173,0.077
200,300,700,800,160,47,0,0.985,0.002,0.009,0.004
200,300,700,800,160,47,1,0.558,0.335,0.083,0.024
200,300,700,800,170,47,0,0.999,0,0.001,0
200,300,700,800,170,47,1,0.889,0.102,0.009,0
200,300,700,900,130,47,0,0.001,0.47,0.506,0.023
200,300,700,900,130,47,1,0,0.946,0.054,0
200,300,700,900,140,47,0,0.09,0.157,0.572,0.181
200,300,700,900,140,47,1,0,0.852,0.13,0.018
200,300,700,900,150,47,0,0.652,0.025,0.215,0.108
200,300,700,900,150,47,1,0.09,0.7,0.149,0.061
200,300,700,900,160,47,0,0.979,0.006,0.01,0.005
200,300,700,900,160,47,1,0.459,0.443,0.087,0.011
200,300,700,900,170,47,0,1,0,0,0
200,300,700,900,170,47,1,0.766,0.212,0.022,0
200,300,700,1000,130,47,0,0,0.431,0.55,0.019
200,300,700,1000,130,47,1,0,0.95,0.049,0.001
200,300,700,1000,140,47,0,0.085,0.165,0.59,0.16
200,300,700,1000,140,47,1,0.002,0.864,0.127,0.007
200,300,700,1000,150,47,0,0.599,0.029,0.234,0.138
200,300,700,1000,150,47,1,0.053,0.729,0.157,0.061
200,300,700,1000,160,47,0,0.955,0.004,0.028,0.013
200,300,700,1000,160,47,1,0.311,0.577,0.083,0.029
200,300,700,1000,170,47,0,1,0,0,0
200,300,700,1000,170,47,1,0.637,0.339,0.023,0.001
200,300,800,900,130,47,0,0,0.465,0.494,0.041
200,300,800,900,130,47,1,0,0.933,0.066,0.001
200,300,800,900,140,47,0,0.097,0.124,0.488,0.291
200,300,800,900,140,47,1,0.002,0.818,0.154,0.026
200,300,800,900,150,47,0,0.693,0.019,0.108,0.18
200,300,800,900,150,47,1,0.096,0.636,0.174,0.094
200,300,800,900,160,47,0,0.981,0.001,0.011,0.007
200,300,800,900,160,47,1,0.538,0.343,0.094,0.025
200,300,800,900,170,47,0,1,0,0,0
200,300,800,900,170,47,1,0.863,0.126,0.011,0
200,300,800,1000,130,47,0,0.001,0.463,0.511,0.025
200,300,800,1000,130,47,1,0,0.949,0.051,0
200,300,800,1000,140,47,0,0.071,0.116,0.62,0.193
200,300,800,1000,140,47,1,0,0.852,0.134,0.014
200,300,800,1000,150,47,0,0.583,0.017,0.21,0.19
200,300,800,1000,150,47,1,0.077,0.702,0.15,0.071
200,300,800,1000,160,47,0,0.964,0.001,0.025,0.01
200,300,800,1000,160,47,1,0.422,0.468,0.069,0.041
200,300,800,1000,170,47,0,1,0,0,0
200,300,800,1000,170,47,1,0.758,0.223,0.018,0.001
200,300,900,1000,130,47,0,0,0.447,0.528,0.025
200,300,900,1000,130,47,1,0,0.949,0.051,0
200,300,900,1000,140,47,0,0.058,0.126,0.543,0.273
200,300,900,1000,140,47,1,0.001,0.848,0.129,0.022
200,300,900,1000,150,47,0,0.572,0.017,0.147,0.264
200,300,900,1000,150,47,1,0.058,0.708,0.153,0.081
200,300,900,1000,160,47,0,0.966,0.002,0.013,0.019
200,300,900,1000,160,47,1,0.393,0.471,0.098,0.038
200,300,900,1000,170,47,0,1,0,0,0
200,300,900,1000,170,47,1,0.714,0.267,0.017,0.002
200,400,200,300,130,47,0,0.04,0.505,0.427,0.028
200,400,200,300,130,47,1,0.003,0.955,0.041,0.001
200,400,200,300,140,47,0,0.492,0.12,0.333,0.055
200,400,200,300,140,47,1,0.087,0.706,0.177,0.03
200,400,200,300,150,47,0,0.942,0.01,0.035,0.013
200,400,200,300,150,47,1,0.536,0.311,0.12,0.033
200,400,200,300,160,47,0,0.998,0,0.001,0.001
200,400,200,300,160,47,1,0.874,0.111,0.015,0
200,400,200,300,170,47,0,1,0,0,0
200,400,200,300,170,47,1,0.962,0.037,0.001,0
200,400,200,400,130,47,0,0.035,0.475,0.48,0.01
200,400,200,400,130,47,1,0.001,0.955,0.044,0
200,400,200,400,140,47,0,0.417,0.09,0.462,0.031
200,400,200,400,140,47,1,0.057,0.743,0.193,0.007
200,400,200,400,150,47,0,0.926,0.002,0.067,0.005
200,400,200,400,150,47,1,0.41,0.409,0.167,0.014
200,400,200,400,160,47,0,0.997,0,0.003,0
200,400,200,400,160,47,1,0.806,0.156,0.038,0
200,400,200,400,170,47,0,1,0,0,0
200,400,200,400,170,47,1,0.97,0.027,0.003,0
200,400,200,500,130,47,0,0.026,0.434,0.538,0.002
200,400,200,500,130,47,1,0.001,0.942,0.056,0.001
200,400,200,500,140,47,0,0.322,0.101,0.558,0.019
200,400,200,500,140,47,1,0.041,0.683,0.271,0.005
200,400,200,500,150,47,0,0.864,0.005,0.126,0.005
200,400,200,500,150,47,1,0.348,0.354,0.292,0.006
200,400,200,500,160,47,0,0.995,0.001,0.004,0
200,400,200,500,160,47,1,0.781,0.122,0.096,0.001
200,400,200,500,170,47,0,1,0,0,0
200,400,200,500,170,47,1,0.958,0.033,0.009,0
200,400,200,600,130,47,0,0.021,0.411,0.564,0.004
200,400,200,600,130,47,1,0,0.955,0.045,0
200,400,200,600,140,47,0,0.309,0.084,0.573,0.034
200,400,200,600,140,47,1,0.021,0.721,0.257,0.001
200,400,200,600,150,47,0,0.817,0.014,0.164,0.005
200,400,200,600,150,47,1,0.296,0.378,0.316,0.01
200,400,200,600,160,47,0,0.979,0.001,0.02,0
200,400,200,600,160,47,1,0.762,0.111,0.125,0.002
200,400,200,600,170,47,0,1,0,0,0
200,400,200,600,170,47,1,0.94,0.041,0.019,0
200,400,200,700,130,47,0,0.018,0.405,0.576,0.001
200,400,200,700,130,47,1,0,0.952,0.048,0
200,400,200,700,140,47,0,0.243,0.096,0.644,0.017
200,400,200,700,140,47,1,0.019,0.761,0.217,0.003
200,400,200,700,150,47,0,0.747,0.01,0.235,0.008
200,400,200,700,150,47,1,0.196,0.483,0.312,0.009
200,400,200,700,160,47,0,0.975,0,0.025,0
200,400,200,700,160,47,1,0.651,0.189,0.157,0.003
200,400,200,700,170,47,0,1,0,0,0
200,400,200,700,170,47,1,0.93,0.052,0.018,0
200,400,200,800,130,47,0,0.005,0.404,0.589,0.002
200,400,200,800,130,47,1,0,0.952,0.048,0
200,400,200,800,140,47,0,0.173,0.099,0.717,0.011
200,400,200,800,140,47,1,0.006,0.795,0.193,0.006
200,400,200,800,150,47,0,0.663,0.014,0.308,0.015
200,400,200,800,150,47,1,0.131,0.56,0.301,0.008
200,400,200,800,160,47,0,0.963,0.002,0.035,0
200,400,200,800,160,47,1,0.527,0.299,0.173,0.001
200,400,200,800,170,47,0,0.999,0,0.001,0
200,400,200,800,170,47,1,0.858,0.107,0.035,0
200,400,200,900,130,47,0,0.006,0.409,0.583,0.002
200,400,200,900,130,47,1,0,0.931,0.068,0.001
200,400,200,900,140,47,0,0.155,0.109,0.716,0.02
200,400,200,900,140,47,1,0.01,0.786,0.198,0.006
200,400,200,900,150,47,0,0.622,0.021,0.339,0.018
200,400,200,900,150,47,1,0.087,0.605,0.292,0.016
200,400,200,900,160,47,0,0.943,0.002,0.055,0
200,400,200,900,160,47,1,0.399,0.392,0.203,0.006
200,400,200,900,170,47,0,0.997,0,0.003,0
200,400,200,900,170,47,1,0.754,0.191,0.055,0
200,400,200,1000,130,47,0,0.005,0.376,0.617,0.002
200,400,200,1000,130,47,1,0,0.933,0.067,0
200,400,200,1000,140,47,0,0.111,0.114,0.755,0.02
