Min_Energy_Thresh_F,Max_Energy_Thresh_F,Min_Energy_Thresh_M,Max_Energy_Thresh_M,Foraging_Condition_Mean,Foraging_Condition_SD,Foraging_Condition_Kick,Success,Fail_Dead_Parent,Fail_Egg_Neglect_Max,Fail_Egg_Neglect_Cumulative
200,300,700,800,130,47,0,0.001,0.453,0.514,0.032
200,300,700,800,130,47,1,0,0.856,0.141,0.003
200,300,700,800,140,47,0,0.14,0.11,0.502,0.248
200,300,700,800,140,47,1,0.009,0.636,0.285,0.07
200,300,700,800,150,47,0,0.721,0.025,0.13,0.124
200,300,700,800,150,47,1,0.294,0.39,0.2,0.116
200,300,700,800,160,47,0,0.991,0.001,0.008,0
200,300,700,800,160,47,1,0.759,0.163,0.066,0.012
200,300,700,800,170,47,0,1,0,0,0
200,300,700,800,170,47,1,0.952,0.034,0.014,0
200,300,700,900,130,47,0,0.002,0.455,0.524,0.019
200,300,700,900,130,47,1,0,0.89,0.107,0.003
200,300,700,900,140,47,0,0.107,0.141,0.56,0.192
200,300,700,900,140,47,1,0.008,0.673,0.268,0.051
200,300,700,900,150,47,0,0.682,0.027,0.164,0.127
200,300,700,900,150,47,1,0.206,0.456,0.238,0.1
200,300,700,900,160,47,0,0.988,0.001,0.009,0.002
200,300,700,900,160,47,1,0.673,0.238,0.073,0.016
200,300,700,900,170,47,0,1,0,0,0
200,300,700,900,170,47,1,0.916,0.074,0.01,0
200,300,700,1000,130,47,0,0.002,0.46,0.518,0.02
200,300,700,1000,130,47,1,0,0.876,0.12,0.004
200,300,700,1000,140,47,0,0.077,0.153,0.616,0.154
200,300,700,1000,140,47,1,0.003,0.699,0.259,0.039
200,300,700,1000,150,47,0,0.601,0.031,0.225,0.143
200,300,700,1000,150,47,1,0.172,0.503,0.215,0.11
200,300,700,1000,160,47,0,0.958,0.002,0.03,0.01
200,300,700,1000,160,47,1,0.564,0.317,0.102,0.017
200,300,700,1000,170,47,0,0.999,0,0.001,0
200,300,700,1000,170,47,1,0.853,0.122,0.024,0.001
200,300,800,900,130,47,0,0.001,0.45,0.503,0.046
200,300,800,900,130,47,1,0,0.874,0.125,0.001
200,300,800,900,140,47,0,0.089,0.115,0.486,0.31
200,300,800,900,140,47,1,0.018,0.609,0.286,0.087
200,300,800,900,150,47,0,0.671,0.02,0.143,0.166
200,300,800,900,150,47,1,0.241,0.436,0.197,0.126
200,300,800,900,160,47,0,0.982,0.001,0.013,0.004
200,300,800,900,160,47,1,0.753,0.153,0.072,0.022
200,300,800,900,170,47,0,0.999,0,0.001,0
200,300,800,900,170,47,1,0.952,0.04,0.007,0.001
200,300,800,1000,130,47,0,0.001,0.464,0.518,0.017
200,300,800,1000,130,47,1,0,0.888,0.111,0.001
200,300,800,1000,140,47,0,0.076,0.127,0.597,0.2
200,300,800,1000,140,47,1,0.003,0.686,0.268,0.043
200,300,800,1000,150,47,0,0.593,0.022,0.214,0.171
200,300,800,1000,150,47,1,0.182,0.446,0.253,0.119
200,300,800,1000,160,47,0,0.976,0.004,0.011,0.009
200,300,800,1000,160,47,1,0.647,0.231,0.092,0.03
200,300,800,1000,170,47,0,0.999,0.001,0,0
200,300,800,1000,170,47,1,0.884,0.091,0.023,0.002
200,300,900,1000,130,47,0,0.001,0.447,0.53,0.022
200,300,900,1000,130,47,1,0,0.873,0.125,0.002
200,300,900,1000,140,47,0,0.053,0.138,0.538,0.271
200,300,900,1000,140,47,1,0.008,0.68,0.252,0.06
200,300,900,1000,150,47,0,0.587,0.021,0.155,0.237
200,300,900,1000,150,47,1,0.177,0.442,0.237,0.144
200,300,900,1000,160,47,0,0.968,0.002,0.018,0.012
200,300,900,1000,160,47,1,0.631,0.254,0.081,0.034
200,300,900,1000,170,47,0,0.999,0.001,0,0
200,300,900,1000,170,47,1,0.916,0.071,0.013,0
200,400,200,300,130,47,0,0.058,0.498,0.408,0.036
200,400,200,300,130,47,1,0.006,0.853,0.125,0.016
200,400,200,300,140,47,0,0.487,0.12,0.318,0.075
200,400,200,300,140,47,1,0.214,0.403,0.316,0.067
200,400,200,300,150,47,0,0.951,0.006,0.035,0.008
200,400,200,300,150,47,1,0.778,0.081,0.115,0.026
200,400,200,300,160,47,0,0.999,0,0.001,0
200,400,200,300,160,47,1,0.977,0.014,0.009,0
200,400,200,300,170,47,0,1,0,0,0
200,400,200,300,170,47,1,0.998,0.002,0,0
200,400,200,400,130,47,0,0.043,0.454,0.493,0.01
200,400,200,400,130,47,1,0.007,0.815,0.174,0.004
200,400,200,400,140,47,0,0.422,0.108,0.444,0.026
200,400,200,400,140,47,1,0.182,0.374,0.421,0.023
200,400,200,400,150,47,0,0.896,0.007,0.092,0.005
200,400,200,400,150,47,1,0.684,0.077,0.225,0.014
200,400,200,400,160,47,0,0.994,0.001,0.005,0
200,400,200,400,160,47,1,0.971,0.007,0.022,0
200,400,200,400,170,47,0,1,0,0,0
200,400,200,400,170,47,1,0.999,0,0.001,0
200,400,200,500,130,47,0,0.023,0.412,0.561,0.004
200,400,200,500,130,47,1,0.001,0.819,0.179,0.001
200,400,200,500,140,47,0,0.354,0.079,0.545,0.022
200,400,200,500,140,47,1,0.103,0.366,0.515,0.016
200,400,200,500,150,47,0,0.866,0.007,0.123,0.004
200,400,200,500,150,47,1,0.603,0.089,0.301,0.007
200,400,200,500,160,47,0,0.994,0,0.006,0
200,400,200,500,160,47,1,0.928,0.011,0.061,0
200,400,200,500,170,47,0,1,0,0,0
