iteration,hatchSuccess,hatchDays,neglect,maxNeglect,endEnergy_M,meanEnergy_M,varEnergy_M,endEnergy_F,meanEnergy_F,varEnergy_F,meanIncubation_M,varIncubation_M,numIncubation_M,meanForaging_M,varForaging_M,numForaging_M,meanIncubation_F,varIncubation_F,numIncubation_F,meanForaging_F,varForaging_F,numForaging_F,incubationMetabolism,foragingMetabolism,minEnergyThreshold,maxEnergyThreshold
89,1,31,5,5,77.2295,75.0763,171.998,70.7528,65.3602,591.236,1.6,0.64,5,4,16.8,5,2.66667,4.55556,6,1.6,0.64,5,10,15,15,80
90,0,31,7,7,43.1826,57.4653,736.496,74.4115,66.8231,325.257,3.25,8.1875,4,2.66667,5.55556,3,2.25,4.6875,4,5,34,4,10,16,15,80
91,1,31,4,4,62.2578,68.3174,589.756,25.7051,63.6334,718.86,2,3.33333,6,1.2,0.16,5,2.14286,5.83673,7,2,3.33333,6,10,17,15,80
92,1,31,9,6,18.9964,63.1413,557.623,63.6639,48.5441,621.235,4,8.66667,3,7.5,42.25,2,3.33333,10.8889,3,2,1,2,10,18,15,80
93,0,31,9,8,25.3511,56.8857,875.592,45.9167,45.5886,811.652,3,5.5,4,3.33333,10.8889,3,2.5,6.75,4,1.66667,0.222222,3,10,19,15,80
94,0,31,13,13,17.9858,48.5364,845.722,-5.59361,31.2718,1020.31,3.33333,6.88889,3,3.5,6.25,2,2.66667,5.55556,3,1.5,0.25,2,10,20,15,80
95,0,31,20,20,31.8822,52.4694,495.276,-3.07136,25.7024,1111.21,1,0,2,1,0,1,3,8,3,1,0,2,10,21,15,80
96,0,31,19,19,38.1166,36.8745,987.001,29.8388,59.7223,281.28,3,8,3,1,0,2,1,0,3,1,0,2,10,22,15,80
97,0,31,21,21,-47.2042,9.59538,1955.2,-25.3781,23.5737,1323.92,4,9,2,1,0,1,1,0,2,1,0,1,10,23,15,80
98,0,31,21,21,-60.6021,8.75126,2010.65,-31.1491,23.4616,1551.32,4,9,2,1,0,1,1,0,2,1,0,1,10,24,15,80
99,0,31,20,20,-38.4665,36.3776,1482.53,-64.0752,9.39953,2263.23,1,0,2,1,0,1,3,8,3,1,0,2,10,25,15,80
100,1,31,0,0,217.431,163.076,1260.71,249.463,166.027,1987.29,1,0,15,1,0,15,1,0,16,1,0,15,10,1,15,80
